    n | CN                                       | FR                                                           | EN                                                
   35 | 后山                                       | "La Montagne de l'Arrière-plan"                              | Chapter 35 - Back Mountain                        
   36 | 是非                                       | Querelle                                                     | Chapter 36 - Quarrel                              
   37 | 四年                                       | Quatre Ans                                                   | Chapter 37 - Four Years                           
   38 | 光斑                                       | Étincelle de lumière                                         | Chapter 38 - Light Speck                          
   39 | 巨富                                       | Richesse                                                     | Chapter 39 - Wealth                               
   40 | 客来                                       | Invités                                                      | Chapter 40 - Guest                                
   41 | 蜈蚣                                       | Centipède                                                    | Chapter 41 - Centipede                            
   42 | 蜈毒                                       | Le Poison du Mille-pattes                                    | Chapter 42 - Centipedes Poison                    
   43 | 故友                                       | Vieux ami                                                    | Chapter 43 - Old Friend                           
   44 | 李山                                       | Li Shan                                                      | Chapter 44 - Li Shan                              
   45 | 下贱                                       | Bas-fonds                                                    | Chapter 45 - Low Life                             
   46 | 老怪                                       | Le vieil homme étrange                                       | Chapter 46 - Strange Old Man                      
   47 | 交流（1）                                    | Échange (1)                                                  | Chapter 47 - Exchange (1)                         
   48 | 交流（2）                                    | Échange (2)                                                  | Chapter 48 - Exchange (2)                         
   49 | 交流（3）                                    | Échange (3)                                                  | Chapter 49 - Exchange (3)                         
   50 | 交流（4）                                    | Échange (4)                                                  | Chapter 50 - Exchange (4)                         
   51 | 凝气十四层？                                   | Entrée en scène (1)                                          | Chapter 51 - Entering the Stage (1)               
   52 | －－六十一章（缩改）                               | Entrée en scène (2)                                          | Chapter 52 - Entering the Stage (2)               
   53 | －－六十一章（缩改）                               | Entrée en scène (3)                                          | Chapter 53 - Entering the Stage (3)               
   54 | －－六十一章（缩改）                               | Entrée en scène (4)                                          | Chapter 54 - Entering the Stage (4)               
   55 | －－六十一章（缩改）                               | Entrée en scène (5)                                          | Chapter 55 - Entering the Stage (5)               
   56 | －－六十一章（缩改）                               | Entrée en scène (6)                                          | Chapter 56 - Entering the Stage (6)               
   57 | －－六十一章（缩改）                               | Entrée en scène (7)                                          | Chapter 57 - Entering the Stage (7)               
   58 | －－六十一章（缩改）                               | Terminé                                                      | Chapter 58 - Finished                             
   59 | －－六十一章（缩改）                               | Interrogatoire                                               | Chapter 59 - Questioning                          
   60 | －－六十一章（缩改）                               | Ancien                                                       | Chapter 60 - Elder                                
   61 | －－六十一章（缩改）                               | Ancêtre                                                      | Chapter 61 - Ancestor                             
   62 | 劫来                                       | Calamité                                                     | Chapter 62 - Calamity                             
   63 | 强势                                       | Puissant                                                     | Chapter 63 - Powerful                             
   64 | －－－七十章（缩改）                               | Dispersion de la Secte                                       | Chapter 64 - Sect Scatters                        
   65 | －－－七十章（缩改）                               | Deuil du Secte                                               | Chapter 65 - Sect Mourning                        
   66 | －－－七十章（缩改）                               | (Sans titre)                                                 | Chapter 66 - (Untitled)                           
   67 | －－－七十章（缩改）                               | (Sans titre)                                                 | Chapter 67 - (Untitled)                           
   68 | －－－七十章（缩改）                               | (Sans titre)                                                 | Chapter 68 - (Untitled)                           
   69 | －－－七十章（缩改）                               | (Sans titre)                                                 | Chapter 69 - (Untitled)                           
   70 | －－－七十章（缩改）                               | Retour au Foyer                                              | Chapter 70 - Returning Home                       
   71 | 四年                                       | Quatre Ans                                                   | Chapter 71 - Four Years                           
   72 | 夺基大法                                     | "S'emparer des Fondations"                                   | Chapter 72 - Seizing Foundation                   
   73 | 天水城                                      | La Cité de Tian Shui                                         | Chapter 73 - Tian Shui City                       
   74 | 血光之灾                                     | Désastre Sanglant                                            | Chapter 74 - Bloody Disaster                      
   75 | 再遇故人                                     | "Rencontre avec l'ennemi"                                    | Chapter 75 - Encountering the Enemy Again         
   76 | 古怪飞剑                                     | "L'Étrange Épée Volante"                                     | Chapter 76 - The Strange Flying Sword             
   77 | 即墨老人                                     | Le Vieux Jimo                                                | Chapter 77 - Old Man Jimo                         
   78 | 藤家城                                      | La Cité de la Famille Teng                                   | Chapter 78 - Teng Family City                     
   79 | 祭炼飞剑                                     | "Affinage de l'Épée Volante"                                 | Chapter 79 - Refining The Flying Sword            
   80 | 血炼之法                                     | "Technique d'Affinage du Sang"                               | Chapter 80 - Blood Refining Technique             
   81 | 夺基（一）                                    | Vol de fondation (1)                                         | Chapter 81 - Stealing Foundation (1)              
   82 | 夺基（二）                                    | Voler les fondations (2)                                     | Chapter 82 - Stealing Foundation (2)              
   83 | 夺基（三）                                    | Voler les Fondations (3)                                     | Chapter 83 - Stealing Foundation (3)              
   84 | 夺基（四）                                    | Voler les Fondations (4)                                     | Chapter 84 - Stealing Foundation (4)              
   85 | 夺基（五）                                    | "Vol de l'essence (5)"                                       | Chapter 85 - Stealing Foundation (5)              
   86 | 丛林废墟                                     | Les Ruines de la Forêt                                       | Chapter 86 - Forest Ruins                         
   87 | 黄泉寒丹                                     | Le Noyau Glacial Abyssal                                     | Chapter 87 - The Abyssal Cold Core                
   88 | 蓝肤怪人                                     | "L'Étrange Personnage à la Peau Bleue"                       | Chapter 88 - The Strange Blue Skinned Person      
   89 | 唬人法宝                                     | Trésor magique de bluff                                      | Chapter 89 - Bluffing Magic Treasure              
   90 | 初露迹象                                     | Le Premier Indice                                            | Chapter 90 - The First Indication                 
   91 | 极阴灵力                                     | Énergie Spirituelle Yin Extrême                              | Chapter 91 - Extreme Yin Spiritual Energy         
   92 | 尸阴宗（一）                                   | Secte du Yin des Corps (1)                                   | Chapter 92 - Corpse Yin Sect (1)                  
   93 | 尸阴宗（二）                                   | Secte du Cadavre Yin (2)                                     | Chapter 93 - Corpse Yin Sect (2)                  
   94 | 尸阴宗（三）                                   | Secte des Cadavres (3)                                       | Chapter 94 - Corpse Yin Sect (3)                  
   95 | 进宗                                       | Entrée dans la Secte                                         | Chapter 95 - Enter the Sect                       
   96 | 炉鼎                                       | Fourneau                                                     | Chapter 96 - Furnace                              
   97 | 巨变                                       | Grand Changement                                             | Chapter 97 - Great Change                         
   98 | 域外战场之序                                   | Introduction au Champ de Bataille Étranger                   | Chapter 98 - Introduction to the Foreign Battleg  
   99 | 石珠变化                                     | Les mutations de la perle de pierre                          | Chapter 99 - The Stone Bead Changes               
  100 | 祭炼剑鞘                                     | "Affinage du fourreau d'épée"                                | Chapter 100 - Refining the Sword Sheath           
  101 | (empty)                                  | "Jade de l'âme"                                              | Chapter 101 - Soul Jade                            *
  102 | (empty)                                  | Deuil de la Calamité (1)                                     | Chapter 102 - Calamity Mourning (1)                *
  103 | (empty)                                  | Deuil face à la Calamité (2)                                 | Chapter 103 - Calamity Mourning (2)                *
  104 | (empty)                                  | Le Deuil de la Calamité (Final)                              | Chapter 104 - Calamity Mourning (Final)            *
  105 | 极境临世（已改，加了近千字）                           | "Le Royaume du Ji d'une Ère Passée"                          | Chapter 105 - Ji Realm of a Past Era              
  106 | (empty)                                  | Rang                                                         | Chapter 106 - Rank                                 *
  107 | (empty)                                  | Grain Étincelant                                             | Chapter 107 - Shining Grain                        *
  108 | (empty)                                  | Vieux ami                                                    | Chapter 108 - Old Friend                           *
  109 | (empty)                                  | Sans titre                                                   | Chapter 109 - Untitled                             *
  110 | 柳眉                                       | Liu Mei                                                      | Chapter 110 - Liu Mei                             
  111 | (empty)                                  | Sans titre                                                   | Chapter 111 - Untitled                             *
  112 | (empty)                                  | Sans titre                                                   | Chapter 112 - Untitled                             *
  113 | (empty)                                  | Sans titre                                                   | Chapter 113 - Untitled                             *
  114 | (empty)                                  | Sans titre                                                   | Chapter 114 - Untitled                             *
  115 | (empty)                                  | Sans titre                                                   | Chapter 115 - Untitled                             *
  116 | (empty)                                  | Sans titre                                                   | Chapter 116 - Untitled                             *
  117 | 王林身亡                                     | Mort de Wang Lin                                             | Chapter 117 - Death of Wang Lin                   
  118 | 域外战场                                     | Le Champ de Bataille Étranger                                | Chapter 118 - Foreign Battleground                
  119 | 神识苏醒                                     | "L'Éveil de l'Âme"                                           | Chapter 119 - Soul Awakens                        
  120 | 王林回归                                     | Le retour de Wang Lin                                        | Chapter 120 - Return of Wang Lin                  
  121 | 不知死活                                     | Agir de manière téméraire                                    | Chapter 121 - Acting Recklessly                   
  122 | 去杀了他                                     | Tuez-le                                                      | Chapter 122 - Kill Him                            
  123 | 魔头                                       | Démon                                                        | Chapter 123 - Devil                               
  124 | 界律法则                                     | La Loi du Monde                                              | Chapter 124 - Law of the World                    
  125 | 极境神识                                     | Sens Divin du Royaume Ji                                     | Chapter 125 - Ji Realm Divine Sense               
  126 | 异国他乡                                     | Pays étranger                                                | Chapter 126 - Foreign Country                     
  127 | 火山闭关                                     | "Culture en isolement au pied d'un volcan"                   | Chapter 127 - Closed Door Cultivation at a Volca  
  128 | 焚金山脉                                     | "La Chaîne de Montagnes de l'Or Brûlant"                     | Chapter 128 - Burning Gold Mountain Range         
  129 | 自制魔头（大章）                                 | Un démon fait maison                                         | Chapter 129 - Homemade Devil                      
  130 | 元婴忽来                                     | "L'arrivée soudaine d'une Âme Naissante"                     | Chapter 130 - Sudden Arrival of Nascent Soul      
  131 | 他是肥羊？                                    | Est-il un mouton gras ?                                      | Chapter 131 - Is He a Fat Sheep                   
  132 | 火焚国剧变（一）                                 | Troubles à Hou Fen (1)                                       | Chapter 132 - Upheaval in Hou Fen (1)             
  133 | 火焚国剧变（二）                                 | Troubles à Hou Fen (2)                                       | Chapter 133 - Upheaval in Hou Fen (2)             
  134 | 举国迁移                                     | Migration Nationale                                          | Chapter 134 - National Migration                  
  135 | 风云变色                                     | Le Vent Tourne                                               | Chapter 135 - The Wind Changes                    
  136 | 中年文士                                     | "L'Érudit d'âge moyen"                                       | Chapter 136 - Middle Aged scholar                 
  137 | 锁国大阵                                     | Formation de Scellement du Pays.                             | Chapter 137 - Country Sealing Array.              
  138 | 天离丹                                      | Pilule du Ciel Lointain                                      | Chapter 138 - Distant Heaven Pill                 
  139 | 假丹境界                                     | Stade de Pseudo-Formation du Noyau                           | Chapter 139 -Pseudo Core Formation Stage          
  140 | 修魔海                                      | La Mer des Diables                                           | Chapter 140 - Sea of Devils                       
  141 | 斗邪派                                      | Combattre le Secte de la Lutte contre le Mal                 | Chapter 141 - Fighting Evil Sect                  
  142 | 一身是宝                                     | Un Corps de Trésors                                          | Chapter 142 - A Body of Treasures                 
  143 | 三颗寒丹                                     | Trois Noyaux Froids                                          | Chapter 143 - Three Cold Cores                    
  144 | 结丹（一）                                    | Formation du Noyau (1)                                       | Chapter 144 - Core Formation (1)                  
  145 | 结丹（二）                                    | Formation du Noyau (2)                                       | Chapter 145 - Core Formation (2)                  
  146 | 结丹（三）                                    | Formation du Noyau (3)                                       | Chapter 146 - Core Formation (3)                  
  147 | 结丹（四）                                    | Formation du Noyau (4)                                       | Chapter 147 - Core Formation (4)                  
  148 | 结丹（五）                                    | Formation du Noyau (5)                                       | Chapter 148 - Core Formation (5)                  
  149 | 结丹（终）                                    | Formation du Noyau (5)                                       | Chapter 149 - Core Formation (5)                  
  150 | 杀                                        | Meurtre                                                      | Chapter 150 - Kill                                
  151 | 万魔百日诛杀令                                  | "L'Ordre de mise à mort des Dix Mille Démons : Cent jours"   | Chapter 151 - Ten Thousand Devil Hundred Day Kil  
  152 | 杀伐血路                                     | Tracer un chemin sanglant                                    | Chapter 152 - Carving a Bloody Path               
  153 | 扬威南斗                                     | Une démonstration de force à Nan Dou                         | Chapter 153 - A Show of Strength at Nan Dou       
  154 | 斗龙大阵                                     | La Grande Formation du Dragon de Bataille                    | Chapter 154 - The Great Battle Dragon Formation   
  155 | 剑修残影 （274票加更章）                           | "Cultivation de l'Épée par Image Rémanente"                  | Chapter 155 - After Image Sword Cultivation       
  156 | 和他拼了                                     | "Je me battrai contre lui jusqu'à la mort"                   | Chapter 156 - Ill Fight Him to the Death          
  157 | 凄美的容颜                                    | Un Visage Triste et Magnifique                               | Chapter 157 - A Sad and Beautiful Complexion      
  158 | 雾气化海（304票加更）                             | Le Brouillard se transforme en mer                           | Chapter 158 - The Fog Turns to Sea                
  159 | 青衫老者（334加更）                              | Le Vieil Homme à la Robe Verte                               | Chapter 159 - The Green Robed Old Man             
  160 | 修丹（364加更）                                | La Formation du Noyau                                        | Chapter 160 - Cultivating the Core                
  161 | 八爪神识（394票加更）                             | Sens Divin à huit griffes                                    | Chapter 161 - Eight Clawed Divine Sense           
  162 | 达成协议                                     | Parvenir à un accord                                         | Chapter 162 - Reaching an Agreement               
  163 | 神道之术                                     | Le Chemin Divin                                              | Chapter 163 - The Divine Path                     
  164 | 神秘尸骸                                     | Le Corps Mystérieux                                          | Chapter 164 - The Mysterious Corpse               
  165 | 怦然心动                                     | "Le cœur battant d'impatience"                               | Chapter 165 - Palpitating with Eagerness          
  166 | 古传送阵                                     | Ancien Réseau de Transfert                                   | Chapter 166 - Ancient Transfer Array              
  167 | 众魔齐聚                                     | Rassemblement de Démons                                      | Chapter 167 - Gathering of Devils                 
  168 | 古神之地                                     | "Terre de l'Ancien Dieu"                                     | Chapter 168 - Land of the Ancient God             
  169 | 取髓                                       | Obtenir la moelle                                            | Chapter 169 - Obtaining the Marrow                
  170 | 脱离队伍                                     | "Séparation de l'équipe"                                     | Chapter 170 - Splitting from the team             
  171 | 李慕婉留下的玉简                                 | Le départ du jade de Li Muwan                                | Chapter 171 - The Jade Li Muwan Left              
  172 | 土行之地                                     | "L'Épreuve de la Terre"                                      | Chapter 172 - Earth Trial                         
  173 | 第二魔头                                     | Le second démon                                              | Chapter 173 - The second devil                    
  174 | 魔头异变                                     | La mutation du démon                                         | Chapter 174 - The devils mutation                 
  175 | 抢宝                                       | Vol de trésors                                               | Chapter 175 -Stealing Treasure                    
  176 | 夺取风群                                     | Capturer le tourbillon                                       | Chapter 176 - Capturing the wind pack             
  177 | 毒王鼎                                      | Le Chaudron du Roi Poison                                    | Chapter 177 - King poison cauldron                
  178 | 禁制山                                      | La montagne des restrictions                                 | Chapter 178 - Restriction mountain                
  179 | 学习禁制                                     | Étude des Restrictions                                       | Chapter 179 - Studying Restrictions               
  180 | 倒霉的古帝（三章合一）                              | "L'Empereur Antique malchanceux"                             | Chapter 180 - The Unlucky Ancient Emperor         
  181 | 禁制大爆发                                    | "L'Embrasement des Restrictions"                             | Chapter 181 - The Outbreak of Restrictions        
  182 | 古神涂司                                     | "L'Ancien Dieu Tu Si"                                        | Chapter 182 - The Ancient God Tu Si               
  183 | 异变初始                                     | Le Changement Soudain                                        | Chapter 183 - The Sudden Change                   
  184 | 妖神血海                                     | La Mer de Sang du Dieu Démon                                 | Chapter 184 - The Blood Sea of the Demon God      
  185 | 血海之主                                     | Maître de la Mer de Sang                                     | Chapter 185 - Master of the Blood Sea             
  186 | 气海之外                                     | Au-delà de la Mer du Qi                                      | Chapter 186 - Beyond the Qi Sea                   
  187 | 古神传承（一）                                  | "L'Héritage du Dieu Ancien (partie 1)"                       | Chapter 187 - The Ancient Gods Inheritance (part  
  188 | 古神传承（二）                                  | "L'Héritage du Dieu Ancien (partie 2)"                       | Chapter 188 - The Ancient Gods Inheritance (part  
  189 | 古神传承（三）                                  | "L'Héritage du Dieu Ancien (partie 3)"                       | Chapter 189 - The Ancient Gods Inheritance (part  
  190 | 古神传承（四）                                  | "L'Héritage du Dieu Ancien (partie 4)"                       | Chapter 190 - The Ancient Gods Inheritance (part  
  191 | 神识死海                                     | La Mer des Âmes Mortes                                       | Chapter 191 - Dead Soul Sea                       
  192 | 意料之外                                     | Inattendu                                                    | Chapter 192 - Unexpected                          
  193 | 血海封印                                     | Le Sceau de la Mer de Sang                                   | Chapter 193 - Seal of the Blood Sea               
  194 | 封印打开                                     | Ouverture du sceau                                           | Chapter 194 - Opening the Seal                    
  195 | 死海疑点                                     | Doutes sur la Mer des Âmes Mortes                            | Chapter 195 - Doubts about the Dead Sea           
  196 | 变卦                                       | Accord rompu                                                 | Chapter 196 - Agreement Broken                    
  197 | 真正传承                                     | "L'Héritage Véritable"                                       | Chapter 197 - The True Inheritance                
  198 | 身体重组                                     | Reconstruction du corps                                      | Chapter 198 - Body Reconstruction                 
  199 | 古神之地（终）                                  | "La Terre de l'Ancien Dieu (Final)"                          | Chapter 199 - Land of the Ancient God (Final)     
  200 | 有女云妃                                     | Yun Fei                                                      | Chapter 200 - Yun Fei                             
  201 | 二百年                                      | 200 ans                                                      | Chapter 201 - 200 Years                           
  202 | 杀人灭口                                     | Anéantissement Total                                         | Chapter 202 - Wiped out Completely                
  203 | (empty)                                  | La Cité Qi Lin                                               | Chapter 203 - Qi Lin City                          *
  204 | 古镜与禁幡                                    | Le Miroir Antique et les Drapeaux de Restriction             | Chapter 204 - The Ancient Mirror and The Restric  
  205 | 归息中的元婴                                   | "L'Âme Naissante au sein de Gui Xi"                          | Chapter 205 - The Nascent Soul within Gui Xi      
  206 | 天劫（9000字求票）                              | Rétribution Divine                                           | Chapter 206 - Divine Retribution                  
  207 | 杀人取丹（1万2字大章求票）                           | "Tuer pour leur noyau !"                                     | "Chapter 207 - Killing people for their core!"    
  208 | 极境的终点                                    | Destination finale du royaume Ji                             | Chapter 208 - Final Destination of the Ji realm   
  209 | 不散功的方法                                   | La méthode pour ne pas détruire sa culture                   | Chapter 209 - The Method Without Destroying His   
  210 | 凝练分身                                     | "Apprendre la technique de l'avatar"                         | Chapter 210 - Learning the avatar technique       
  211 | 云天宗                                      | Secte du Ciel Nuageux                                        | Chapter 211 - Cloud Sky Sect                      
  212 | 奢侈                                       | Luxe                                                         | Chapter 212 - Luxury                              
  213 | 故人                                       | Vieux Ami                                                    | Chapter 213 - Old Friend                          
  214 | 惆怅                                       | Mélancolie                                                   | Chapter 214 - Melancholy                          
  215 | 罗月                                       | Lou Yue                                                      | Chapter 215 - Lou Yue                             
  216 | 本尊，现                                     | "Corps principal, apparais !"                                | "Chapter 216 - Main Body, Appear!"                
  217 | 碰撞                                       | Rencontre                                                    | Chapter 217 - Meet Up                             
  218 | 决然                                       | Décisivité                                                   | Chapter 218 - Decisiveness                        
  219 | 两个月                                      | Deux Mois                                                    | Chapter 219 - Two Months                          
  220 | 丹药                                       | Pilules                                                      | Chapter 220 - Pills                               
  221 | 修为飙升                                     | Ascension fulgurante de la culture                           | Chapter 221 - Soaring Cultivation                 
  222 | 夺天七鼎                                     | "Le Four de l'Héritage Céleste"                              | Chapter 222 - Heaven Stealing Seven Furnace       
  223 | 开启丹封                                     | Ouverture du sceau de la pilule                              | Chapter 223 - Opening the Pill Seal               
  224 | 结婴                                       | "Formation de l'Âme Naissante"                               | Chapter 224 - Forming Nascent Soul                
  225 | 拿去炼丹                                     | Prends ceci pour raffiner une pilule                         | Chapter 225 - Take This To Refine A Pill          
  226 | 离开楚国                                     | Quitter le Pays de Chu                                       | Chapter 226 - Leave The Country of Chu            
  227 | 再遇故人                                     | Retrouver un vieux ami                                       | Chapter 227 - Meeting an Old Friend Again         
  228 | 收宠                                       | Recevoir une faveur                                          | Chapter 228 - Receiving Favor                     
  229 | 蚊兽                                       | La Bête Moustique                                            | Chapter 229 - Mosquito Beast                      
  230 | 杀人取令                                     | Tuer pour un jeton                                           | Chapter 230 -Killing for a Token                  
  231 | 赵国所在                                     | Localisation de Zhao                                         | Chapter 231 - Location of Zhao                    
  232 | 剑鞘                                       | "Le Fourreau d'Épée"                                         | Chapter 232 - Sword Sheath                        
  233 | 住手！                                      | Arrêt                                                        | Chapter 233 - Stop                                
  234 | 藤化元                                      | Teng Huayuan                                                 | Chapter 234 - Teng Huayuan                        
  235 | 因为，他姓藤（9000字大章求月票）                       | Parce que son nom est Teng                                   | Chapter 235 - Because His Name is Teng            
  236 | 斩千人                                      | Un millier de morts                                          | Chapter 236 - Killing One Thousand                
  237 | 王……王林？                                   | Wang... Wang Lin ?                                           | Chapter 237 - Wang Wang Lin                       
  238 | 核心族人                                     | Membres Fondamentaux de la Famille                           | Chapter 238 - Core Family Members                 
  239 | 大树欲倒                                     | Le Grand Arbre Souhaite Tomber                               | Chapter 239 - Large Tree Wish to Fall             
  240 | 藤三                                       | Teng Trois                                                   | Chapter 240 - Teng Three                          
  241 | 王卓                                       | Wang Zhuo                                                    | Chapter 241 - Wang Zhuo                           
  242 | 朴南子                                      | Punnan Zi                                                    | Chapter 242 - Punnan Zi                           
  243 | 藤一                                       | Teng One                                                     | Chapter 243 - Teng One                            
  244 | 灭藤（一）                                    | "L'Extermination des Teng (1)"                               | Chapter 244 - Exterminating Teng (1)              
  245 | 灭藤（二）                                    | "L'Extermination des Teng (2)"                               | Chapter 245 - Exterminating Teng (2)              
  246 | 灭藤（终）                                    | "L'extermination des Teng (Fin)"                             | Chapter 246 - Exterminating Teng (End)            
  247 | 邪异男子                                     | Le Jeune Homme au Visage Maléfique                           | Chapter 247 - The Evil Looking Young Man          
  248 | 修星之晶                                     | Le Cristal de la Planète de Culture                          | Chapter 248 - The Cultivation Planet Crystal      
  249 | 化凡                                       | Devenir Mortel                                               | Chapter 249 - Turning Mortal                      
  250 | 凝煞                                       | Condensation du Mal                                          | Chapter 250 - Condensing Evil                     
  251 | 归隐                                       | Retraite spirituelle                                         | Chapter 251 - Spiritual Retreat                   
  252 | 法宝                                       | Trésor Magique                                               | Chapter 252 - Magic Treasure                      
  253 | 蛟龙木雕                                     | "La Sculpture d'un Dragon"                                   | Chapter 253 - Carving of a Dragon                 
  254 | 没见过                                      | "Je n'ai jamais vu ça auparavant"                            | Chapter 254 - Never Seen It Before                
  255 | 盗贼                                       | Le Voleur                                                    | Chapter 255 - Robber                              
  256 | 寒冷                                       | La Froideur                                                  | Chapter 256 - Coldness                            
  257 | 是你！                                      | "C'est toi !"                                                | "Chapter 257 - Its You!"                          
  258 | 踢宗                                       | Démanteler les Sectes                                        | Chapter 258 - Trashing Sects                      
